Last Name,First Name,Course Name,Schedule Start,Period Start,Room Name,Lunch Name,Term Start
Arm,Ada,Advisory Grade 12,A,Advisory,4417,,Qtr4
Arm,Ada,Economics,A,4,3407,,Qtr4
Arm,Ada,Late Start,A,1,,,Qtr4
Arm,Ada,MindBody Fitness,A,3,1114,D Lunch,Qtr4
Arm,Ada,"Painting, Beginning",A,2,1304,,Qtr4
Arm,Ada,Physics,B,4,2405,,Qtr4
Arm,Ada,Quest Science Fiction,B,3,3102,B Lunch,Qtr4
Arm,Ada,Reading Standards 7,B,2,3118,,Qtr4
Arm,Ada,Skills for Coll & Car Readi 1,B,1,4104,,Qtr4
Arm,Ada,Supplemental,B,5,,,Qtr4
Tye,Ada,Advisory Grade 9,A,Advisory,2403,,Qtr4
Tye,Ada,Biology,A,1,2304,,Qtr4
Tye,Ada,IB MYP Freshman Foundations,B,4,2507,,Qtr4
Tye,Ada,Integrated Math I,A,2,4410,,Qtr4
Tye,Ada,Integrated Math I Standards,B,2,3410,,Qtr4
Tye,Ada,Mixed Media,A,4,1303,,Qtr4
Tye,Ada,Quest English 9,A,3,3106,B Lunch,Qtr4
Tye,Ada,Reading Standards 5,B,3,3409,B Lunch,Qtr4
Tye,Ada,Skills for Coll & Car Readi 1,B,1,3420,,Qtr4
Wil,Aha,Advisory Grade 11,A,Advisory,4107,,Qtr4
Wil,Aha,Integrated Math III Standards,A,4,4401,,Qtr4
Wil,Aha,Mixed Media,B,3,1318,A Lunch,Qtr4
Wil,Aha,Physics,A,2,2405,,Qtr4
Wil,Aha,Quest World Literature,B,4,3115,,Qtr4
Wil,Aha,Reading Standards 7,B,2,3118,,Qtr4
Wil,Aha,Skills for Coll & Car Readi 1,A,3,4104,,Qtr4
Wil,Aha,US History Survey,A,1,1317,,Qtr4
Wil,Aha,"Woodworking, Beginning",B,1,1314,,Qtr4
Jos,Arm,Advisory Grade 9,A,Advisory,2312,,Qtr4
Jos,Arm,Biology,B,2,2304,,Qtr4
Jos,Arm,Chinese 1,A,4,4103,,Qtr4
Jos,Arm,IB MYP Freshman Foundations,B,1,2311,,Qtr4
Jos,Arm,Integrated Math I,B,3,4410,D Lunch,Qtr4
Jos,Arm,Quest English 9,A,3,3106,B Lunch,Qtr4
Jos,Arm,Skills for Coll & Car Readi 1,A,2,4112,,Qtr4
Jos,Arm,Volleyball,A,1,1501,,Qtr4
Jos,Arm,World History,B,4,3404,,Qtr4
Phi,Bak,Advisory Grade 11,A,Advisory,4403,,Qtr4
Phi,Bak,Career Seminar 1,B,4,1101,,Qtr4
Phi,Bak,Integrated Math III,A,2,4407,,Qtr4
Phi,Bak,Physics,B,2,2405,,Qtr4
Phi,Bak,Quest Science Fiction,B,3,3102,B Lunch,Qtr4
Phi,Bak,Reading Standards 6,A,3,4112,C Lunch,Qtr4
Phi,Bak,Skills for Coll & Car Readi 1,B,1,4104,,Qtr4
Phi,Bak,"Ten/Bass (TB) Choir, Beginning",A,1,2501,,Qtr4
Phi,Bak,US History Survey,A,4,1317,,Qtr4
Bro,Beh,Advisory Grade 10,A,Advisory,4101,,Qtr4
Bro,Beh,AP Computer Science A,A,4,101,,Qtr4
Bro,Beh,AP Human Geography,B,3,3401,B Lunch,Qtr4
Bro,Beh,"Chemistry, Accelerated",B,1,2306,,Qtr4
Bro,Beh,Critical Ethnic Studies,A,2,3110,,Qtr4
Bro,Beh,GI- Writer's Workshop,A,3,4101,C Lunch,Qtr4
Bro,Beh,IB German Immersion 10,B,2,4110,,Qtr4
Bro,Beh,Integrated Math III,A,1,4409,,Qtr4
Bro,Beh,Quest English 10,B,4,4114,,Qtr4
Wil,Boe,Advisory Grade 10,A,Advisory,101,,Qtr4
Wil,Boe,Auto Technology 2,B,2,1214,,Qtr4
Wil,Boe,Chemistry,A,1,2306,,Qtr4
Wil,Boe,Critical Ethnic Studies,A,2,3110,,Qtr4
Wil,Boe,Health: Individual & Community,B,4,1415,,Qtr4
Wil,Boe,Human Geography,B,1,3401,,Qtr4
Wil,Boe,Integrated Math II,B,3,4402,D Lunch,Qtr4
Wil,Boe,Quest English 10,A,4,4114,,Qtr4
Wil,Boe,Skills for Coll & Car Readi 1,A,3,4104,,Qtr4
Kyr,Boo,Advisory Grade 12,A,Advisory,3408,,Qtr4
Kyr,Boo,Critical Ethnic Studies,B,2,4414,,Qtr4
Kyr,Boo,Culinary Arts 1,A,4,1414,,Qtr4
Kyr,Boo,Integrated Math III,A,2,4407,,Qtr4
Kyr,Boo,Integrated Math III Standards,B,4,4401,,Qtr4
Kyr,Boo,Mixed Media,B,3,1318,A Lunch,Qtr4
Kyr,Boo,"Painting, Beginning",A,1,1304,,Qtr4
Kyr,Boo,Quest African Amer Literature,B,1,3104,,Qtr4
Kyr,Boo,Strength & Fitness Training,A,3,1117,D Lunch,Qtr4
Kyr,Boo,Supplemental,B,5,,,Qtr4
